"YEAR","STATE","TOTAL FINES","TOTAL CHARGES","TOTAL ARRESTS","COUNT"
2008,"ACT",0,0,0,1887
2008,"NSW",0,0,0,27368
2008,"NT",0,0,0,9460
2008,"QLD",0,0,0,26975
2008,"SA",0,0,0,10467
2008,"TAS",0,0,0,4563
2008,"VIC",0,0,0,19190
2008,"WA",0,0,0,14532
2009,"ACT",0,0,0,1628
2009,"NSW",0,0,0,26595
2009,"NT",0,0,0,10990
2009,"QLD",0,0,0,32696
2009,"SA",0,0,0,10954
2009,"TAS",0,0,0,5120
2009,"VIC",0,0,0,18246
2009,"WA",0,0,0,13039
2010,"ACT",0,0,0,1447
2010,"NSW",0,0,0,24411
2010,"NT",0,0,0,10842
2010,"QLD",0,0,0,33638
2010,"SA",0,0,0,10172
2010,"TAS",0,0,0,3895
2010,"VIC",0,0,0,16297
2010,"WA",0,0,0,11595
2011,"ACT",0,0,0,1488
2011,"NSW",0,0,0,22117
2011,"NT",0,0,0,8914
2011,"QLD",0,0,0,27264
2011,"SA",0,0,0,10034
2011,"TAS",0,0,0,3527
2011,"VIC",0,0,0,13925
2011,"WA",0,0,0,10644
2012,"ACT",0,0,0,1418
2012,"NSW",0,0,0,19982
2012,"NT",0,0,0,9332
2012,"QLD",0,0,0,25320
2012,"SA",0,0,0,9267
2012,"TAS",0,0,0,2916
2012,"VIC",0,0,0,13033
2012,"WA",0,0,0,9737
2013,"ACT",0,0,0,1399
2013,"NSW",0,0,0,20193
2013,"NT",0,0,0,12395
2013,"QLD",0,0,0,25291
2013,"SA",0,0,0,8890
2013,"TAS",0,0,0,2782
2013,"VIC",0,0,0,11442
2013,"WA",0,0,0,8636
2014,"ACT",0,0,0,1267
2014,"NSW",0,0,0,19531
2014,"NT",0,0,0,13562
2014,"QLD",0,0,0,23023
2014,"SA",0,0,0,8154
2014,"TAS",0,0,0,2585
2014,"VIC",0,0,0,12062
2014,"WA",0,0,0,11034
2015,"ACT",0,0,0,1134
2015,"NSW",0,0,0,18750
2015,"NT",0,0,0,14192
2015,"QLD",0,0,0,20357
2015,"SA",0,0,0,8208
2015,"TAS",0,0,0,2327
2015,"VIC",0,0,0,9315
2015,"WA",0,0,0,10071
2016,"ACT",0,0,0,1005
2016,"NSW",0,0,0,17442
2016,"NT",0,0,0,7571
2016,"QLD",0,0,0,18673
2016,"SA",0,0,0,5155
2016,"TAS",0,0,0,2322
2016,"VIC",0,0,0,10337
2016,"WA",0,0,0,8912
2017,"ACT",0,0,0,1057
2017,"NSW",0,0,0,18022
2017,"NT",0,0,0,7846
2017,"QLD",0,0,0,16489
2017,"SA",0,0,0,6007
2017,"TAS",0,0,0,2070
2017,"VIC",0,0,0,9969
2017,"WA",0,0,0,9062
2018,"ACT",0,0,0,1114
2018,"NSW",0,0,0,17989
2018,"NT",0,0,0,7672
2018,"QLD",0,0,0,16773
2018,"SA",0,0,0,4997
2018,"TAS",0,0,0,1723
2018,"VIC",0,0,0,7025
2018,"WA",0,0,0,7550
2019,"ACT",0,0,0,933
2019,"NSW",0,0,0,17084
2019,"NT",0,0,0,7775
2019,"QLD",0,0,0,16685
2019,"SA",0,0,0,4985
2019,"TAS",0,0,0,1805
2019,"VIC",0,0,0,9235
2019,"WA",0,0,0,6878
2020,"ACT",0,0,0,888
2020,"NSW",0,0,0,13540
2020,"NT",0,0,0,7362
2020,"QLD",0,0,0,16060
2020,"SA",0,0,0,4400
2020,"VIC",0,0,0,4976
2020,"WA",0,0,0,7510
2021,"ACT",0,0,0,767
2021,"NSW",0,0,0,12980
2021,"NT",0,0,0,5492
2021,"QLD",0,0,0,16402
2021,"SA",0,0,0,4062
2021,"VIC",0,0,0,6363
2021,"WA",0,0,0,7417
2022,"ACT",0,0,0,847
2022,"NSW",0,0,0,15794
2022,"NT",0,0,0,5120
2022,"QLD",0,0,0,17007
2022,"SA",0,0,0,4556
2022,"VIC",0,0,0,8280
2022,"WA",0,0,0,7331
2023,"ACT",0,742,68,742
2023,"NSW",4098,9873,0,13971
2023,"NT",0,1155,449,7722
2023,"QLD",0,0,0,15859
2023,"SA",1390,2943,251,4333
2023,"VIC",0,0,0,8257
2023,"WA",2150,6149,155,8299
2024,"ACT",0,644,55,644
2024,"NSW",3631,9364,0,12995
2024,"NT",231,1355,489,8717
2024,"QLD",0,0,0,15336
2024,"SA",1333,2852,249,4434
2024,"VIC",0,0,0,5407
2024,"WA",1920,8348,432,10268
