"YEAR","STATE","COUNT"
2008,"NSW",542
2008,"QLD",216
2008,"SA",600
2008,"TAS",211
2008,"VIC",438
2008,"WA",406
2009,"NSW",613
2009,"QLD",254
2009,"SA",1179
2009,"TAS",252
2009,"VIC",323
2009,"WA",289
2010,"NSW",735
2010,"QLD",440
2010,"SA",1699
2010,"VIC",741
2010,"WA",418
2011,"NSW",666
2011,"QLD",825
2011,"SA",2320
2011,"TAS",573
2011,"VIC",760
2011,"WA",460
2012,"ACT",37
2012,"NSW",705
2012,"QLD",937
2012,"SA",3237
2012,"TAS",523
2012,"VIC",2180
2012,"WA",623
2013,"ACT",116
2013,"NSW",898
2013,"NT",84
2013,"QLD",1300
2013,"SA",3737
2013,"TAS",639
2013,"VIC",2540
2013,"WA",539
2014,"ACT",392
2014,"NSW",2096
2014,"NT",90
2014,"QLD",2208
2014,"SA",4681
2014,"TAS",1969
2014,"VIC",3749
2014,"WA",1104
2015,"ACT",258
2015,"NSW",9123
2015,"NT",120
2015,"QLD",7446
2015,"SA",5239
2015,"TAS",2318
2015,"VIC",7823
2015,"WA",2816
2016,"ACT",444
2016,"NSW",8220
2016,"NT",196
2016,"QLD",10663
2016,"SA",4310
2016,"TAS",2154
2016,"VIC",9065
2016,"WA",3651
2017,"ACT",504
2017,"NSW",9273
2017,"NT",329
2017,"QLD",11697
2017,"SA",4337
2017,"TAS",2152
2017,"VIC",8252
2017,"WA",3311
2018,"ACT",877
2018,"NSW",9067
2018,"NT",341
2018,"QLD",14020
2018,"SA",5141
2018,"TAS",2408
2018,"VIC",11548
2018,"WA",4814
2019,"ACT",852
2019,"NSW",9446
2019,"NT",462
2019,"QLD",13366
2019,"SA",4985
2019,"TAS",2487
2019,"VIC",11693
2019,"WA",5175
2020,"ACT",834
2020,"NSW",12652
2020,"NT",372
2020,"QLD",8871
2020,"SA",5728
2020,"TAS",3273
2020,"VIC",10256
2020,"WA",4919
2021,"ACT",461
2021,"NSW",16997
2021,"NT",273
2021,"QLD",9847
2021,"SA",4226
2021,"TAS",2618
2021,"VIC",9717
2021,"WA",5326
2022,"ACT",390
2022,"NSW",9527
2022,"NT",181
2022,"QLD",12064
2022,"SA",5607
2022,"TAS",2209
2022,"VIC",10628
2022,"WA",6262
2023,"ACT",203
2023,"NSW",40551
2023,"NT",573
2023,"QLD",11853
2023,"SA",5329
2023,"TAS",2223
2023,"VIC",8813
2023,"WA",17694
2024,"ACT",227
2024,"NSW",38774
2024,"NT",2980
2024,"QLD",12063
2024,"SA",5333
2024,"TAS",2787
2024,"VIC",5376
2024,"WA",21714
