"YEAR","STATE","FINES","ARRESTS","CHARGES","COUNT"
2008,"NSW",0,0,0,542
2008,"QLD",0,0,0,216
2008,"SA",0,0,0,600
2008,"TAS",0,0,0,211
2008,"VIC",0,0,0,438
2008,"WA",0,0,0,406
2009,"NSW",0,0,0,613
2009,"QLD",0,0,0,254
2009,"SA",0,0,0,1179
2009,"TAS",0,0,0,252
2009,"VIC",0,0,0,323
2009,"WA",0,0,0,289
2010,"NSW",0,0,0,735
2010,"QLD",0,0,0,440
2010,"SA",0,0,0,1699
2010,"VIC",0,0,0,741
2010,"WA",0,0,0,418
2011,"NSW",0,0,0,666
2011,"QLD",0,0,0,825
2011,"SA",0,0,0,2320
2011,"TAS",0,0,0,573
2011,"VIC",0,0,0,760
2011,"WA",0,0,0,460
2012,"ACT",0,0,0,37
2012,"NSW",0,0,0,705
2012,"QLD",0,0,0,937
2012,"SA",0,0,0,3237
2012,"TAS",0,0,0,523
2012,"VIC",0,0,0,2180
2012,"WA",0,0,0,623
2013,"ACT",0,0,0,116
2013,"NSW",0,0,0,898
2013,"NT",0,0,0,84
2013,"QLD",0,0,0,1300
2013,"SA",0,0,0,3737
2013,"TAS",0,0,0,639
2013,"VIC",0,0,0,2540
2013,"WA",0,0,0,539
2014,"ACT",0,0,0,392
2014,"NSW",0,0,0,2096
2014,"NT",0,0,0,90
2014,"QLD",0,0,0,2208
2014,"SA",0,0,0,4681
2014,"TAS",0,0,0,1969
2014,"VIC",0,0,0,3749
2014,"WA",0,0,0,1104
2015,"ACT",0,0,0,258
2015,"NSW",0,0,0,9123
2015,"NT",0,0,0,120
2015,"QLD",0,0,0,7446
2015,"SA",0,0,0,5239
2015,"TAS",0,0,0,2318
2015,"VIC",0,0,0,7823
2015,"WA",0,0,0,2816
2016,"ACT",0,0,0,444
2016,"NSW",0,0,0,8220
2016,"NT",0,0,0,196
2016,"QLD",0,0,0,10663
2016,"SA",0,0,0,4310
2016,"TAS",0,0,0,2154
2016,"VIC",0,0,0,9065
2016,"WA",0,0,0,3651
2017,"ACT",0,0,0,504
2017,"NSW",0,0,0,9273
2017,"NT",0,0,0,329
2017,"QLD",0,0,0,11697
2017,"SA",0,0,0,4337
2017,"TAS",0,0,0,2152
2017,"VIC",0,0,0,8252
2017,"WA",0,0,0,3311
2018,"ACT",0,0,0,877
2018,"NSW",0,0,0,9067
2018,"NT",0,0,0,341
2018,"QLD",0,0,0,14020
2018,"SA",0,0,0,5141
2018,"TAS",0,0,0,2408
2018,"VIC",0,0,0,11548
2018,"WA",0,0,0,4814
2019,"ACT",0,0,0,852
2019,"NSW",0,0,0,9446
2019,"NT",0,0,0,462
2019,"QLD",0,0,0,13366
2019,"SA",0,0,0,4985
2019,"TAS",0,0,0,2487
2019,"VIC",0,0,0,11693
2019,"WA",0,0,0,5175
2020,"ACT",0,0,0,834
2020,"NSW",0,0,0,12652
2020,"NT",0,0,0,372
2020,"QLD",0,0,0,8871
2020,"SA",0,0,0,5728
2020,"TAS",0,0,0,3273
2020,"VIC",0,0,0,10256
2020,"WA",0,0,0,4919
2021,"ACT",0,0,0,461
2021,"NSW",0,0,0,16997
2021,"NT",0,0,0,273
2021,"QLD",0,0,0,9847
2021,"SA",0,0,0,4226
2021,"TAS",0,0,0,2618
2021,"VIC",0,0,0,9717
2021,"WA",0,0,0,5326
2022,"ACT",0,0,0,390
2022,"NSW",0,0,0,9527
2022,"NT",0,0,0,181
2022,"QLD",0,0,0,12064
2022,"SA",0,0,0,5607
2022,"TAS",0,0,0,2209
2022,"VIC",0,0,0,10628
2022,"WA",0,0,0,6262
2023,"ACT",0,42,203,203
2023,"NSW",13005,0,27546,40551
2023,"NT",573,0,0,573
2023,"QLD",0,27,11853,11853
2023,"SA",3254,152,1842,5329
2023,"TAS",0,0,0,2223
2023,"VIC",0,0,0,8813
2023,"WA",0,16,5506,17694
2024,"ACT",0,36,227,227
2024,"NSW",14600,0,24174,38774
2024,"NT",780,524,2200,2980
2024,"QLD",0,34,12063,12063
2024,"SA",3101,120,1879,5333
2024,"TAS",0,0,0,2787
2024,"VIC",0,0,0,5376
2024,"WA",0,9,6709,21714
