"STATE","AGE_GROUP","METRIC","TOTAL FINES"
"ACT","17-25","mobile_phone_use",3737
"ACT","17-25","non_wearing_seatbelts",45
"ACT","17-25","speed_fines",18198
"ACT","17-25","unlicensed_driving",174
"ACT","26-39","mobile_phone_use",10973
"ACT","26-39","non_wearing_seatbelts",42
"ACT","26-39","speed_fines",39696
"ACT","26-39","unlicensed_driving",219
"ACT","40-64","mobile_phone_use",10666
"ACT","40-64","non_wearing_seatbelts",40
"ACT","40-64","speed_fines",61314
"ACT","40-64","unlicensed_driving",140
"ACT","65 and over","mobile_phone_use",1246
"ACT","65 and over","non_wearing_seatbelts",3
"ACT","65 and over","speed_fines",18896
"ACT","65 and over","unlicensed_driving",4
"ACT","Under 17","mobile_phone_use",17
"ACT","Under 17","non_wearing_seatbelts",4
"ACT","Under 17","speed_fines",101
"ACT","Under 17","unlicensed_driving",22
"ACT","Unknown","mobile_phone_use",774
"ACT","Unknown","speed_fines",2602
"NSW","17-25","mobile_phone_use",9468
"NSW","17-25","non_wearing_seatbelts",4860
"NSW","17-25","speed_fines",91905
"NSW","17-25","unlicensed_driving",4759
"NSW","26-39","mobile_phone_use",10358
"NSW","26-39","non_wearing_seatbelts",7823
"NSW","26-39","speed_fines",122987
"NSW","26-39","unlicensed_driving",7464
"NSW","40-64","mobile_phone_use",7344
"NSW","40-64","non_wearing_seatbelts",5317
"NSW","40-64","speed_fines",122225
"NSW","40-64","unlicensed_driving",4465
"NSW","65 and over","mobile_phone_use",800
"NSW","65 and over","non_wearing_seatbelts",1018
"NSW","65 and over","speed_fines",25107
"NSW","65 and over","unlicensed_driving",410
"NSW","Under 17","mobile_phone_use",40
"NSW","Under 17","non_wearing_seatbelts",110
"NSW","Under 17","speed_fines",291
"NSW","Under 17","unlicensed_driving",116
"NSW","Unknown","mobile_phone_use",350029
"NSW","Unknown","non_wearing_seatbelts",72088
"NSW","Unknown","speed_fines",1424640
"NSW","Unknown","unlicensed_driving",0
"NT","17-25","mobile_phone_use",86
"NT","17-25","non_wearing_seatbelts",348
"NT","17-25","speed_fines",11691
"NT","17-25","unlicensed_driving",182
"NT","26-39","mobile_phone_use",202
"NT","26-39","non_wearing_seatbelts",772
"NT","26-39","speed_fines",30187
"NT","26-39","unlicensed_driving",399
"NT","40-64","mobile_phone_use",142
"NT","40-64","non_wearing_seatbelts",595
"NT","40-64","speed_fines",37682
"NT","40-64","unlicensed_driving",203
"NT","65 and over","mobile_phone_use",18
"NT","65 and over","non_wearing_seatbelts",56
"NT","65 and over","speed_fines",8538
"NT","65 and over","unlicensed_driving",11
"NT","Under 17","mobile_phone_use",1
"NT","Under 17","non_wearing_seatbelts",2
"NT","Under 17","speed_fines",116
"NT","Under 17","unlicensed_driving",2
"NT","Unknown","speed_fines",3147
"QLD","17-25","mobile_phone_use",10451
"QLD","17-25","non_wearing_seatbelts",5870
"QLD","17-25","speed_fines",121629
"QLD","17-25","unlicensed_driving",6966
"QLD","26-39","mobile_phone_use",29198
"QLD","26-39","non_wearing_seatbelts",14890
"QLD","26-39","speed_fines",237465
