"STATE","METRIC","TOTAL FINES"
"ACT","mobile_phone_use",47766
"ACT","non_wearing_seatbelts",749
"ACT","speed_fines",864001
"ACT","unlicensed_driving",559
"NSW","mobile_phone_use",1383819
"NSW","non_wearing_seatbelts",186122
"NSW","speed_fines",11638443
"NSW","unlicensed_driving",17214
"NT","mobile_phone_use",10435
"NT","non_wearing_seatbelts",12252
"NT","speed_fines",521550
"NT","unlicensed_driving",797
"QLD","mobile_phone_use",587214
"QLD","non_wearing_seatbelts",167290
"QLD","speed_fines",13356305
"QLD","unlicensed_driving",52836
"SA","mobile_phone_use",166158
"SA","non_wearing_seatbelts",24366
"SA","speed_fines",2370992
"SA","unlicensed_driving",13677
"TAS","mobile_phone_use",53413
"TAS","non_wearing_seatbelts",9526
"TAS","speed_fines",536098
"TAS","unlicensed_driving",487
"VIC","mobile_phone_use",686405
"VIC","non_wearing_seatbelts",130625
"VIC","speed_fines",20105048
"VIC","unlicensed_driving",16375
"WA","mobile_phone_use",204037
"WA","non_wearing_seatbelts",28292
"WA","speed_fines",10261929
"WA","unlicensed_driving",4029
