"YEAR","STATE","COUNT"
2008,"ACT",1887
2008,"NSW",27368
2008,"NT",9460
2008,"QLD",26975
2008,"SA",10467
2008,"TAS",4563
2008,"VIC",19190
2008,"WA",14532
2009,"ACT",1628
2009,"NSW",26595
2009,"NT",10990
2009,"QLD",32696
2009,"SA",10954
2009,"TAS",5120
2009,"VIC",18246
2009,"WA",13039
2010,"ACT",1447
2010,"NSW",24411
2010,"NT",10842
2010,"QLD",33638
2010,"SA",10172
2010,"TAS",3895
2010,"VIC",16297
2010,"WA",11595
2011,"ACT",1488
2011,"NSW",22117
2011,"NT",8914
2011,"QLD",27264
2011,"SA",10034
2011,"TAS",3527
2011,"VIC",13925
2011,"WA",10644
2012,"ACT",1418
2012,"NSW",19982
2012,"NT",9332
2012,"QLD",25320
2012,"SA",9267
2012,"TAS",2916
2012,"VIC",13033
2012,"WA",9737
2013,"ACT",1399
2013,"NSW",20193
2013,"NT",12395
2013,"QLD",25291
2013,"SA",8890
2013,"TAS",2782
2013,"VIC",11442
2013,"WA",8636
2014,"ACT",1267
2014,"NSW",19531
2014,"NT",13562
2014,"QLD",23023
2014,"SA",8154
2014,"TAS",2585
2014,"VIC",12062
2014,"WA",11034
2015,"ACT",1134
2015,"NSW",18750
2015,"NT",14192
2015,"QLD",20357
2015,"SA",8208
2015,"TAS",2327
2015,"VIC",9315
2015,"WA",10071
2016,"ACT",1005
2016,"NSW",17442
2016,"NT",7571
2016,"QLD",18673
2016,"SA",5155
2016,"TAS",2322
2016,"VIC",10337
2016,"WA",8912
2017,"ACT",1057
2017,"NSW",18022
2017,"NT",7846
2017,"QLD",16489
2017,"SA",6007
2017,"TAS",2070
2017,"VIC",9969
2017,"WA",9062
2018,"ACT",1114
2018,"NSW",17989
2018,"NT",7672
2018,"QLD",16773
2018,"SA",4997
2018,"TAS",1723
2018,"VIC",7025
2018,"WA",7550
2019,"ACT",933
2019,"NSW",17084
2019,"NT",7775
2019,"QLD",16685
2019,"SA",4985
2019,"TAS",1805
2019,"VIC",9235
2019,"WA",6878
2020,"ACT",888
2020,"NSW",13540
2020,"NT",7362
2020,"QLD",16060
2020,"SA",4400
2020,"VIC",4976
2020,"WA",7510
2021,"ACT",767
2021,"NSW",12980
2021,"NT",5492
2021,"QLD",16402
2021,"SA",4062
2021,"VIC",6363
2021,"WA",7417
2022,"ACT",847
2022,"NSW",15794
2022,"NT",5120
2022,"QLD",17007
2022,"SA",4556
2022,"VIC",8280
2022,"WA",7331
2023,"ACT",742
2023,"NSW",13971
2023,"NT",7722
2023,"QLD",15859
2023,"SA",4333
2023,"VIC",8257
2023,"WA",8299
2024,"ACT",644
2024,"NSW",12995
2024,"NT",8717
2024,"QLD",15336
2024,"SA",4434
2024,"VIC",5407
2024,"WA",10268
