"YEAR","AGE_GROUP","TOTAL COUNT","TOTAL FINES","TOTAL ARRESTS","TOTAL CHARGES"
2023,"0-16",71,27,2,51
2023,"17-25",9994,4186,28,5566
2023,"26-39",23274,6581,103,15277
2023,"40-64",21120,5846,77,13943
2023,"65 and over",495,192,0,259
2023,"All ages",11853,0,27,11853
2023,"Unknown",20432,0,0,1
2024,"0-16",98,40,22,68
2024,"17-25",9863,4487,143,5438
2024,"26-39",22020,7272,312,15132
2024,"40-64",20154,6467,209,14289
2024,"65 and over",547,215,3,262
2024,"All ages",12063,0,34,12063
2024,"Unknown",24509,0,0,0
