"STATE","METRIC","TOTAL FINES"
"ACT","mobile_phone_use",27413
"ACT","non_wearing_seatbelts",134
"ACT","speed_fines",140807
"ACT","unlicensed_driving",559
"NSW","mobile_phone_use",378039
"NSW","non_wearing_seatbelts",91216
"NSW","speed_fines",1787155
"NSW","unlicensed_driving",17214
"NT","mobile_phone_use",449
"NT","non_wearing_seatbelts",1773
"NT","speed_fines",91361
"NT","unlicensed_driving",797
"QLD","mobile_phone_use",155626
"QLD","non_wearing_seatbelts",77060
"QLD","speed_fines",1655509
"QLD","unlicensed_driving",52836
"SA","mobile_phone_use",10374
"SA","non_wearing_seatbelts",5406
"SA","speed_fines",388183
"SA","unlicensed_driving",13677
"TAS","mobile_phone_use",5243
"TAS","non_wearing_seatbelts",6175
"TAS","speed_fines",140033
"TAS","unlicensed_driving",487
"VIC","mobile_phone_use",104621
"VIC","non_wearing_seatbelts",83604
"VIC","speed_fines",2076098
"VIC","unlicensed_driving",16375
"WA","mobile_phone_use",7323
"WA","non_wearing_seatbelts",3715
"WA","speed_fines",1280320
"WA","unlicensed_driving",4029
