"YEAR","STATE","METRIC","TOTAL FINES","TOTAL ARRESTS","TOTAL CHARGES"
2008,"ACT","mobile_phone_use",2060,0,0
2008,"NSW","mobile_phone_use",40882,0,0
2008,"NSW","speed_fines",590408,0,0
2008,"NT","mobile_phone_use",671,0,0
2008,"NT","speed_fines",23865,0,0
2008,"QLD","mobile_phone_use",28499,0,0
2008,"QLD","speed_fines",502886,0,0
2008,"SA","mobile_phone_use",11411,0,0
2008,"SA","speed_fines",119500,0,0
2008,"TAS","mobile_phone_use",6780,0,0
2008,"TAS","speed_fines",59962,0,0
2008,"VIC","mobile_phone_use",49739,0,0
2008,"VIC","speed_fines",1114036,0,0
2008,"WA","mobile_phone_use",15957,0,0
2008,"WA","speed_fines",228822,0,0
2009,"ACT","mobile_phone_use",1890,0,0
2009,"NSW","mobile_phone_use",41167,0,0
2009,"NSW","speed_fines",513616,0,0
2009,"NT","mobile_phone_use",1106,0,0
2009,"NT","speed_fines",19893,0,0
2009,"QLD","mobile_phone_use",33352,0,0
2009,"QLD","speed_fines",475870,0,0
2009,"SA","mobile_phone_use",14167,0,0
2009,"SA","speed_fines",107676,0,0
2009,"TAS","mobile_phone_use",5665,0,0
2009,"TAS","speed_fines",67768,0,0
2009,"VIC","mobile_phone_use",53101,0,0
2009,"VIC","speed_fines",1136590,0,0
2009,"WA","mobile_phone_use",14804,0,0
2009,"WA","speed_fines",254858,0,0
2010,"ACT","mobile_phone_use",2407,0,0
2010,"ACT","speed_fines",58705,0,0
2010,"NSW","mobile_phone_use",51104,0,0
2010,"NSW","speed_fines",390746,0,0
2010,"NT","mobile_phone_use",998,0,0
2010,"NT","speed_fines",26775,0,0
2010,"QLD","mobile_phone_use",33013,0,0
2010,"QLD","speed_fines",440622,0,0
2010,"SA","mobile_phone_use",14139,0,0
2010,"SA","speed_fines",91335,0,0
2010,"TAS","mobile_phone_use",3735,0,0
2010,"TAS","speed_fines",37376,0,0
2010,"VIC","mobile_phone_use",54728,0,0
2010,"VIC","speed_fines",1172460,0,0
2010,"WA","mobile_phone_use",11705,0,0
2010,"WA","speed_fines",300344,0,0
2011,"ACT","mobile_phone_use",2284,0,0
2011,"ACT","speed_fines",56719,0,0
2011,"NSW","mobile_phone_use",46714,0,0
2011,"NSW","speed_fines",389649,0,0
2011,"NT","mobile_phone_use",729,0,0
2011,"NT","speed_fines",24633,0,0
2011,"QLD","mobile_phone_use",30389,0,0
2011,"QLD","speed_fines",588714,0,0
2011,"SA","mobile_phone_use",13402,0,0
2011,"SA","speed_fines",61859,0,0
2011,"TAS","mobile_phone_use",3241,0,0
2011,"TAS","speed_fines",24427,0,0
2011,"VIC","mobile_phone_use",52630,0,0
2011,"VIC","speed_fines",1151555,0,0
