"STATE","LOCATION","AGE_GROUP","METRIC","TOTAL FINES"
"ACT","Major Cities of Australia","17-25","mobile_phone_use",3737
"ACT","Major Cities of Australia","17-25","non_wearing_seatbelts",45
"ACT","Major Cities of Australia","17-25","speed_fines",18198
"ACT","Major Cities of Australia","17-25","unlicensed_driving",174
"ACT","Major Cities of Australia","26-39","mobile_phone_use",10973
"ACT","Major Cities of Australia","26-39","non_wearing_seatbelts",42
"ACT","Major Cities of Australia","26-39","speed_fines",39696
"ACT","Major Cities of Australia","26-39","unlicensed_driving",219
"ACT","Major Cities of Australia","40-64","mobile_phone_use",10666
"ACT","Major Cities of Australia","40-64","non_wearing_seatbelts",40
"ACT","Major Cities of Australia","40-64","speed_fines",61314
"ACT","Major Cities of Australia","40-64","unlicensed_driving",140
"ACT","Major Cities of Australia","65 and over","mobile_phone_use",1246
"ACT","Major Cities of Australia","65 and over","non_wearing_seatbelts",3
"ACT","Major Cities of Australia","65 and over","speed_fines",18896
"ACT","Major Cities of Australia","65 and over","unlicensed_driving",4
"ACT","Major Cities of Australia","Under 17","mobile_phone_use",17
"ACT","Major Cities of Australia","Under 17","non_wearing_seatbelts",4
"ACT","Major Cities of Australia","Under 17","speed_fines",101
"ACT","Major Cities of Australia","Under 17","unlicensed_driving",22
"ACT","Major Cities of Australia","Unknown","mobile_phone_use",774
"ACT","Major Cities of Australia","Unknown","speed_fines",2602
"NSW","Inner Regional Australia","17-25","mobile_phone_use",1100
"NSW","Inner Regional Australia","17-25","non_wearing_seatbelts",1559
"NSW","Inner Regional Australia","17-25","speed_fines",35193
"NSW","Inner Regional Australia","17-25","unlicensed_driving",916
"NSW","Inner Regional Australia","26-39","mobile_phone_use",1361
"NSW","Inner Regional Australia","26-39","non_wearing_seatbelts",2489
"NSW","Inner Regional Australia","26-39","speed_fines",53859
"NSW","Inner Regional Australia","26-39","unlicensed_driving",2023
"NSW","Inner Regional Australia","40-64","mobile_phone_use",984
"NSW","Inner Regional Australia","40-64","non_wearing_seatbelts",1610
"NSW","Inner Regional Australia","40-64","speed_fines",56326
"NSW","Inner Regional Australia","40-64","unlicensed_driving",1385
"NSW","Inner Regional Australia","65 and over","mobile_phone_use",129
"NSW","Inner Regional Australia","65 and over","non_wearing_seatbelts",366
"NSW","Inner Regional Australia","65 and over","speed_fines",13107
"NSW","Inner Regional Australia","65 and over","unlicensed_driving",154
"NSW","Inner Regional Australia","Under 17","mobile_phone_use",14
"NSW","Inner Regional Australia","Under 17","non_wearing_seatbelts",38
"NSW","Inner Regional Australia","Under 17","speed_fines",130
"NSW","Inner Regional Australia","Under 17","unlicensed_driving",34
"NSW","Major Cities of Australia","17-25","mobile_phone_use",8035
"NSW","Major Cities of Australia","17-25","non_wearing_seatbelts",2641
"NSW","Major Cities of Australia","17-25","speed_fines",45648
"NSW","Major Cities of Australia","17-25","unlicensed_driving",3467
"NSW","Major Cities of Australia","26-39","mobile_phone_use",8585
"NSW","Major Cities of Australia","26-39","non_wearing_seatbelts",4189
"NSW","Major Cities of Australia","26-39","speed_fines",51080
"NSW","Major Cities of Australia","26-39","unlicensed_driving",4629
"NSW","Major Cities of Australia","40-64","mobile_phone_use",6059
"NSW","Major Cities of Australia","40-64","non_wearing_seatbelts",2796
"NSW","Major Cities of Australia","40-64","speed_fines",44885
"NSW","Major Cities of Australia","40-64","unlicensed_driving",2569
"NSW","Major Cities of Australia","65 and over","mobile_phone_use",633
"NSW","Major Cities of Australia","65 and over","non_wearing_seatbelts",439
"NSW","Major Cities of Australia","65 and over","speed_fines",6486
"NSW","Major Cities of Australia","65 and over","unlicensed_driving",196
"NSW","Major Cities of Australia","Under 17","mobile_phone_use",25
"NSW","Major Cities of Australia","Under 17","non_wearing_seatbelts",57
"NSW","Major Cities of Australia","Under 17","speed_fines",120
"NSW","Major Cities of Australia","Under 17","unlicensed_driving",61
"NSW","Major Cities of Australia","Unknown","unlicensed_driving",0
"NSW","Outer Regional Australia","17-25","mobile_phone_use",161
"NSW","Outer Regional Australia","17-25","non_wearing_seatbelts",471
"NSW","Outer Regional Australia","17-25","speed_fines",8929
"NSW","Outer Regional Australia","17-25","unlicensed_driving",258
"NSW","Outer Regional Australia","26-39","mobile_phone_use",218
"NSW","Outer Regional Australia","26-39","non_wearing_seatbelts",826
"NSW","Outer Regional Australia","26-39","speed_fines",14947
"NSW","Outer Regional Australia","26-39","unlicensed_driving",584
"NSW","Outer Regional Australia","40-64","mobile_phone_use",192
"NSW","Outer Regional Australia","40-64","non_wearing_seatbelts",659
"NSW","Outer Regional Australia","40-64","speed_fines",17659
"NSW","Outer Regional Australia","40-64","unlicensed_driving",388
"NSW","Outer Regional Australia","65 and over","mobile_phone_use",26
"NSW","Outer Regional Australia","65 and over","non_wearing_seatbelts",166
"NSW","Outer Regional Australia","65 and over","speed_fines",4714
"NSW","Outer Regional Australia","65 and over","unlicensed_driving",48
"NSW","Outer Regional Australia","Under 17","mobile_phone_use",1
"NSW","Outer Regional Australia","Under 17","non_wearing_seatbelts",15
"NSW","Outer Regional Australia","Under 17","speed_fines",31
"NSW","Outer Regional Australia","Under 17","unlicensed_driving",12
"NSW","Remote Australia","17-25","mobile_phone_use",9
"NSW","Remote Australia","17-25","non_wearing_seatbelts",52
"NSW","Remote Australia","17-25","speed_fines",675
"NSW","Remote Australia","17-25","unlicensed_driving",24
"NSW","Remote Australia","26-39","mobile_phone_use",15
"NSW","Remote Australia","26-39","non_wearing_seatbelts",78
"NSW","Remote Australia","26-39","speed_fines",1186
"NSW","Remote Australia","26-39","unlicensed_driving",51
"NSW","Remote Australia","40-64","mobile_phone_use",7
"NSW","Remote Australia","40-64","non_wearing_seatbelts",87
"NSW","Remote Australia","40-64","speed_fines",1445
"NSW","Remote Australia","40-64","unlicensed_driving",32
"NSW","Remote Australia","65 and over","mobile_phone_use",3
"NSW","Remote Australia","65 and over","non_wearing_seatbelts",18
"NSW","Remote Australia","65 and over","speed_fines",404
"NSW","Remote Australia","65 and over","unlicensed_driving",4
"NSW","Remote Australia","Under 17","speed_fines",3
"NSW","Remote Australia","Under 17","unlicensed_driving",4
"NSW","Unknown","17-25","mobile_phone_use",161
"NSW","Unknown","17-25","non_wearing_seatbelts",120
"NSW","Unknown","17-25","speed_fines",1383
"NSW","Unknown","17-25","unlicensed_driving",90
"NSW","Unknown","26-39","mobile_phone_use",176
"NSW","Unknown","26-39","non_wearing_seatbelts",208
"NSW","Unknown","26-39","speed_fines",1765
"NSW","Unknown","26-39","unlicensed_driving",164
"NSW","Unknown","40-64","mobile_phone_use",99
"NSW","Unknown","40-64","non_wearing_seatbelts",152
"NSW","Unknown","40-64","speed_fines",1748
"NSW","Unknown","40-64","unlicensed_driving",81
"NSW","Unknown","65 and over","mobile_phone_use",9
"NSW","Unknown","65 and over","non_wearing_seatbelts",28
"NSW","Unknown","65 and over","speed_fines",353
"NSW","Unknown","65 and over","unlicensed_driving",8
"NSW","Unknown","Under 17","speed_fines",6
"NSW","Unknown","Under 17","unlicensed_driving",5
"NSW","Unknown","Unknown","mobile_phone_use",350029
"NSW","Unknown","Unknown","non_wearing_seatbelts",72088
"NSW","Unknown","Unknown","speed_fines",1424640
"NSW","Very Remote Australia","17-25","mobile_phone_use",2
"NSW","Very Remote Australia","17-25","non_wearing_seatbelts",17
"NSW","Very Remote Australia","17-25","speed_fines",77
"NSW","Very Remote Australia","17-25","unlicensed_driving",4
"NSW","Very Remote Australia","26-39","mobile_phone_use",3
"NSW","Very Remote Australia","26-39","non_wearing_seatbelts",33
"NSW","Very Remote Australia","26-39","speed_fines",150
"NSW","Very Remote Australia","26-39","unlicensed_driving",13
"NSW","Very Remote Australia","40-64","mobile_phone_use",3
"NSW","Very Remote Australia","40-64","non_wearing_seatbelts",13
"NSW","Very Remote Australia","40-64","speed_fines",162
"NSW","Very Remote Australia","40-64","unlicensed_driving",10
"NSW","Very Remote Australia","65 and over","non_wearing_seatbelts",1
"NSW","Very Remote Australia","65 and over","speed_fines",43
"NSW","Very Remote Australia","65 and over","unlicensed_driving",0
"NSW","Very Remote Australia","Under 17","speed_fines",1
"NSW","Very Remote Australia","Under 17","unlicensed_driving",0
"NT","Unknown","17-25","mobile_phone_use",86
"NT","Unknown","17-25","non_wearing_seatbelts",348
"NT","Unknown","17-25","speed_fines",11691
"NT","Unknown","17-25","unlicensed_driving",182
"NT","Unknown","26-39","mobile_phone_use",202
"NT","Unknown","26-39","non_wearing_seatbelts",772
"NT","Unknown","26-39","speed_fines",30187
"NT","Unknown","26-39","unlicensed_driving",399
"NT","Unknown","40-64","mobile_phone_use",142
"NT","Unknown","40-64","non_wearing_seatbelts",595
"NT","Unknown","40-64","speed_fines",37682
"NT","Unknown","40-64","unlicensed_driving",203
"NT","Unknown","65 and over","mobile_phone_use",18
"NT","Unknown","65 and over","non_wearing_seatbelts",56
"NT","Unknown","65 and over","speed_fines",8538
"NT","Unknown","65 and over","unlicensed_driving",11
"NT","Unknown","Under 17","mobile_phone_use",1
"NT","Unknown","Under 17","non_wearing_seatbelts",2
"NT","Unknown","Under 17","speed_fines",116
"NT","Unknown","Under 17","unlicensed_driving",2
"NT","Unknown","Unknown","speed_fines",3147
"QLD","Unknown","17-25","mobile_phone_use",10451
"QLD","Unknown","17-25","non_wearing_seatbelts",5870
"QLD","Unknown","17-25","speed_fines",121629
"QLD","Unknown","17-25","unlicensed_driving",6966
"QLD","Unknown","26-39","mobile_phone_use",29198
"QLD","Unknown","26-39","non_wearing_seatbelts",14890
"QLD","Unknown","26-39","speed_fines",237465
"QLD","Unknown","26-39","unlicensed_driving",10435
"QLD","Unknown","40-64","mobile_phone_use",29490
"QLD","Unknown","40-64","non_wearing_seatbelts",14567
"QLD","Unknown","40-64","speed_fines",330434
"QLD","Unknown","40-64","unlicensed_driving",6719
"QLD","Unknown","65 and over","mobile_phone_use",3789
"QLD","Unknown","65 and over","non_wearing_seatbelts",3209
"QLD","Unknown","65 and over","speed_fines",84968
"QLD","Unknown","65 and over","unlicensed_driving",428
"QLD","Unknown","Under 17","mobile_phone_use",2104
"QLD","Unknown","Under 17","non_wearing_seatbelts",812
"QLD","Unknown","Under 17","speed_fines",18147
"QLD","Unknown","Under 17","unlicensed_driving",583
"QLD","Unknown","Unknown","mobile_phone_use",80594
"QLD","Unknown","Unknown","non_wearing_seatbelts",37712
"QLD","Unknown","Unknown","speed_fines",862866
"QLD","Unknown","Unknown","unlicensed_driving",27705
"SA","Inner Regional Australia","17-25","mobile_phone_use",34
"SA","Inner Regional Australia","17-25","non_wearing_seatbelts",51
"SA","Inner Regional Australia","17-25","speed_fines",4247
"SA","Inner Regional Australia","26-39","mobile_phone_use",74
"SA","Inner Regional Australia","26-39","non_wearing_seatbelts",84
